bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label
23_9300560_92078,file,"['/var/lib/docker/overlay2/158aa749a9d9a1c0c3a4190b7c9e31e01487a27c35a0db3c07360396367b6828/diff/cdk_cgexp_fR9O.sh', '/cdk_cgexp_fR9O.sh']",['/bin/dash'],['/usr/bin/bash'],"[1, 1, 1, 1, 1]","['read', 'perm_check', 'open']",['write'],"['./cdk', 'echo from_container > /tmp/hostt-file', 'run', 'mount-cgroup']","['/var/lib/docker/overlay2/158aa749a9d9a1c0c3a4190b7c9e31e01487a27c35a0db3c07360396367b6828/diff/cdk_cgexp_fR9O.sh', '/bin/sh', '/x_fR9O']",7,1,1
23_9300560_92153,file,['/var/lib/docker/overlay2/158aa749a9d9a1c0c3a4190b7c9e31e01487a27c35a0db3c07360396367b6828/diff/cdk_cgres_fR9O'],['/usr/bin/bash'],['/bin/dash'],"[1, 1, 1, 1, 1]","['read', 'perm_check', 'getattr', 'open']",['write'],"['/var/lib/docker/overlay2/158aa749a9d9a1c0c3a4190b7c9e31e01487a27c35a0db3c07360396367b6828/diff/cdk_cgexp_fR9O.sh', '/bin/sh', '/x_fR9O']","['./cdk', 'echo from_container > /tmp/hostt-file', 'run', 'mount-cgroup']",6,0,0
