bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,labels
89_577844575_130332,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],197,0,0
89_577844575_229845,file,['/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851-init/diff/etc/hosts'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
89_577844575_229873,file,['/var/lib/docker/overlay2/b57f7ff1d23b59e7ca9365de8054699d8007bc3872516ba23a0868f3a56b5851-init/diff/etc/hostname'],"['/usr/bin/dockerd', '/usr/bin/docker-runc']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0
89_577844575_229935,process_memory,['/usr/bin/dockerd'],"['/symlink_swap', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],129938,0,1
89_577844575_229960,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0,0
89_577844575_229980,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],[],1,0,0
89_577844575_229986,file,"['/systemd/netif/.#stateOwbOay', '/systemd/netif/state']","['/lib/systemd/systemd-timesyncd', '/bin/networkctl']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['open', 'getattr', 'perm_check', 'read']","['write', 'rename']",[],[],9,0,0
89_577844575_229990,,"['/systemd/netif/links/.#13cii44w', '/systemd/netif/links/13']","['/usr/bin/python3.6', '/lib/systemd/systemd-resolved']",['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['write', 'rename']",[],"['list', '--no-legend', '/bin/networkctl', '--no-pager']",16,0,0
89_577844575_230026,file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confC85tGR']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['write', 'rename']",[],[],4,0,0
89_577844575_230140,file,['/var/lib/docker/containers/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0
89_577844575_230146,file,['/var/lib/docker/containers/d0c9f01b0d2343c2b905be47e4de18a6ed9ba987190abac4ee461afe1ebc9368/resolv.conf'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0
