bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label
2_1851734740_266235,file,"['/systemd/resolve/.#stub-resolv.conflUYRsS', '/systemd/resolve/stub-resolv.conf']","['/bin/bash', '/usr/bin/dockerd', '/usr/bin/sudo', '/usr/bin/kubelet']",['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'read', 'open']","['rename', 'write']",[],"['-a', 'c10=ubuntu:latest', 'set', 'ls', 'c18=ubuntu:latest', 'camflow', 'c4=ubuntu:latest', 'c2=ubuntu:latest', '/test1/zzz', 'c9', '--', 'c6', 'c12', 'c4', 'c15', 'sudo', 'c11', 'c11=ubuntu:latest', 'attack:/test1/', '-c', 'c7', 'c3', 'c20=ubuntu:latest', 'c17=ubuntu:latest', 'pod', 'cp', 'c13', 'c1', 'c18', 'c3=ubuntu:latest', 'attack', 'c19', 'c14', 'c5', 'c13=ubuntu:latest', 'c20', 'c8=ubuntu:latest', 'bash', 'image', 'exec', 'c6=ubuntu:latest', 'c14=ubuntu:latest', 'c9=ubuntu:latest', 'c5=ubuntu:latest', 'c7=ubuntu:latest', 'c19=ubuntu:latest', 'c15=ubuntu:latest', 'c10', 'pod/attack', 'c2', 'c12=ubuntu:latest', 'c17', 'c16=ubuntu:latest', 'kubectl', '-ti', 'c8', '-it', 'c16', 'race', 'false']",271,0,0
2_1851734740_268068,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/.pwd.lock'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268072,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/adduser.conf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268080,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/alternatives/README'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268107,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/01-vendor-ubuntu'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268111,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/01autoremove'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268115,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/01autoremove-kernels'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268119,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/70debconf'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268123,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/docker-autoremove-suggests'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268127,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/docker-clean'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268131,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/docker-gzip-indexes'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268135,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/apt.conf.d/docker-no-languages'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268147,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/sources.list'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268159,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-archive.gpg'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268163,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/trusted.gpg.d/ubuntu-keyring-2012-cdimage.gpg'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268167,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/apt/trusted.gpg.d/ubuntu-keyring-2018-archive.gpg'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['getattr'],['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",[],1,0,0
2_1851734740_268171,file,['/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff/etc/bash.bashrc'],"['/usr/bin/docker-runc', '/usr/bin/dockerd', '/usr/bin/bash']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]","['perm_check', 'getattr', 'read', 'open']",['write'],"['docker-untar', '/var/lib/docker/overlay2/60641b0bdb1eb82c0cc9f058979da679ff1cca184aa0bfe215ba876f7f24e316/diff']",['bash'],19,0,0
