bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,labels
10_9300560_21858,process_memory,['/lib/systemd/systemd'],['/bin/dash'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_25255,process_memory,['/lib/systemd/systemd-journald'],['/bin/dash'],"['/lib/systemd/systemd', '/usr/bin/sudo', '/usr/bin/dockerd', '/usr/sbin/cron']","[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_45073,process_memory,['/usr/sbin/cron'],['/bin/dash'],['/usr/sbin/cron'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_45433,process_memory,['/usr/bin/dbus-daemon'],['/bin/dash'],['/usr/bin/dbus-daemon'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_46687,process_memory,['/lib/systemd/systemd-logind'],['/bin/dash'],['/lib/systemd/systemd-logind'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_47207,process_memory,['/usr/sbin/irqbalance'],['/bin/dash'],['/usr/sbin/irqbalance'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_55555,process_memory,['/usr/bin/dockerd'],"['/lib/systemd/systemd-journald', '/bin/dash']",['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_58126,process_memory,['/usr/bin/docker-containerd'],['/bin/dash'],['/usr/bin/docker-containerd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_62521,process_memory,['/opt/VBoxGuestAdditions-6.1.22/sbin/VBoxService'],['/bin/dash'],['/opt/VBoxGuestAdditions-6.1.22/sbin/VBoxService'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_67642,process_memory,['/lib/systemd/systemd'],"['/lib/systemd/systemd-journald', '/bin/dash']",['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_68343,process_memory,['/usr/sbin/sshd'],['/bin/dash'],['/usr/sbin/sshd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_68368,process_memory,['/bin/bash'],['/bin/dash'],['/bin/bash'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_68969,process_memory,['/usr/sbin/sshd'],['/bin/dash'],['/usr/sbin/sshd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['pidof', 'php7.2']",2,0,0
10_9300560_70564,process_memory,['/usr/bin/sudo'],"['/lib/systemd/systemd-journald', '/bin/dash']",['/usr/bin/sudo'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['pidof', 'php7.2']",2,0,0
10_9300560_70590,process_memory,['/usr/bin/sudo'],['/bin/dash'],['/usr/bin/sudo'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'exec_task', 'clone_mem']",[],"['pidof', 'php7.2']",2,0,0
10_9300560_70701,file,['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30-init/diff/etc/resolv.conf'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['rename'],[],[],1,0,0
10_9300560_70712,file,['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30-init/diff/etc/hosts'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['rename'],[],[],1,0,0
10_9300560_70744,file,['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30-init/diff/etc/hostname'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['rename'],[],[],1,0,0
10_9300560_70809,process_memory,['/usr/bin/dockerd'],"['/tmp/cdk_linux_amd64', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['memory_read'],"['memory_write', 'clone_mem']",[],[],379,1,0
10_9300560_70826,file,['/var/lib/docker/containers/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/hosts'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['write'],[],[],1,0,0
10_9300560_70827,file,['/var/lib/docker/containers/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/resolv.conf'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['write'],[],[],1,0,0
10_9300560_70892,file,['/var/lib/docker/containers/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/hostname'],['/usr/bin/docker-runc'],['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]",['getattr'],['write'],[],[],1,0,0
10_9300560_70928,process_memory,['/usr/bin/docker-containerd'],['/bin/dash'],['/usr/bin/docker-containerd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'exec_task', 'clone_mem']",[],"['pidof', 'php7.2']",2,0,0
10_9300560_71015,pipe,['/docker/runtime-runc/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/exec.fifo'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]",['read'],['write'],[],"['--log-format', 'start', '53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/log.json', 'docker-runc', '/var/run/docker/runtime-runc/moby', 'json', '--root']",1,1,0
10_9300560_71017,socket,[],['/usr/bin/docker-runc'],"['/usr/bin/docker-containerd-shim', '/usr/bin/docker-runc']","[1, 1, 0, 1, 1]","['receive', 'receive_msg']","['send', 'send_msg', 'socket_create', 'socket_pair_create']","['--bundle', '--log-format', '53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/init.pid', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '--pid-file', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/log.json', 'docker-runc', 'init', '/var/run/docker/runtime-runc/moby', 'json', '--root', '/tmp/pty789506827/pty.sock', 'create', '--console-socket']",[],16,0,0
10_9300560_71096,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 0, 0, 1]","['receive', 'receive_msg']","['socket_create', 'socket_pair_create']","['init', 'docker-runc']",[],2,0,0
10_9300560_71098,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]","['receive', 'receive_msg']","['socket_create', 'socket_pair_create']","['init', 'docker-runc']",[],2,0,0
10_9300560_71100,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 0, 0, 1]",['memory_read'],"['memory_write', 'clone_mem']","['init', 'docker-runc']",[],2,0,0
10_9300560_71104,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]",['memory_read'],['clone_mem'],[],[],1,0,0
10_9300560_71107,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['--bundle', '--log-format', '53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/init.pid', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '--pid-file', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/log.json', 'docker-runc', '/var/run/docker/runtime-runc/moby', 'json', '--root', '/tmp/pty789506827/pty.sock', 'create', '--console-socket']",3,1,0
10_9300560_71343,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['--bundle', '--log-format', 'start', 'state', '53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/init.pid', '--log', '--pid-file', '/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/log.json', 'docker-runc', '/var/run/docker/runtime-runc/moby', 'json', '--root', '/tmp/pty789506827/pty.sock', 'create', '--console-socket']",5,1,0
10_9300560_71459,process_memory,['/usr/bin/docker-runc'],"['/usr/bin/docker-containerd-shim', '/usr/bin/docker-runc', '/bin/dash']",['/usr/bin/docker-runc'],"[1, 1, 0, 1, 1]",['ptrace_read'],"['memory_write', 'exec_task', 'clone_mem']",[],"['state', '--log-format', '/tmp/pty455257326/pty.sock', 'pidof', 'php7.2', '53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85', '/tmp/runc-process573161845', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/5fb45f131f03af3fdc11a37d044d0d8e54df2f5295ac1d3e79240174b70ef732.pid', '--pid-file', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/53edf8d153e76d9f6fc2affea5b6f7111703d04590aeb214457fcaf3c01c6f85/log.json', 'docker-runc', '/var/run/docker/runtime-runc/moby', 'json', 'exec', '--root', '--detach', '--process', '--console-socket']",15,1,0
10_9300560_71894,pipe,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 1, 0, 0, 0]",['read'],"['write', 'file_lock']","['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/merged/tmp', 'docker-untar']","['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/merged/tmp', 'docker-untar']",366,0,0
10_9300560_71901,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 0, 0, 0]",['memory_read'],"['memory_write', 'exec_task', 'clone_mem']","['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/merged/tmp', 'docker-untar']","['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/merged/tmp', 'docker-untar']",368,0,0
10_9300560_71962,file,"['/tmp/cdk_linux_amd64', '/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/diff/tmp/cdk_linux_amd64']","['/usr/bin/docker-runc', '/usr/bin/dockerd', '/usr/bin/bash']",['/usr/bin/dockerd'],"[1, 1, 0, 1, 1]","['getattr', 'perm_check', 'mmap_private', 'read', 'open']",['write'],"['/var/lib/docker/overlay2/cebd868374ec0a9d51861b08ed0ab286f9aa15f74b5934c7c11e551b1f25be30/merged/tmp', 'docker-untar']","['reverse', './cdk_linux_amd64', 'echo exploit_sucess /tmp/host_file.txt', 'cdk_linux_amd64', 'shim-pwn', 'bash', '2346', 'chmod', 'run', 'a+x', '127.0.0.1', 'echo exploit_success > /tmp/host_file.txt']",90,0,0
10_9300560_72119,process_memory,['/usr/bin/sudo'],['/bin/dash'],['/usr/bin/sudo'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['pidof', 'php7.2']",2,0,0
