bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,labels
106_577844575_115060,file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21-init/diff/etc/resolv.conf'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],2,0,0
106_577844575_115081,file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21-init/diff/etc/hostname'],"['/', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],2,0,0
106_577844575_115142,process_memory,['/usr/bin/dockerd'],"['/bin/touch', '/bin/umount', '/bin/mkdir', '/usr/bin/dockerd', '/bin/bash', '/bin/cp']",['/usr/bin/dockerd'],"[0, 0, 0, 0, 0]",['memory_read'],"['clone_mem', 'memory_write']",[],[],19,1,0
106_577844575_115172,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],1,0,0
106_577844575_115188,file,"['/systemd/netif/state', '/systemd/netif/.#stateb0LpeI']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],8,0,0
106_577844575_115189,process_memory,['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd-udevd'],"[0, 1, 0, 0, 0]",['ptrace_read'],"['clone_mem', 'memory_write']",[],[],1,0,0
106_577844575_115230,file,"['/systemd/resolve/.#resolv.confxOjbUA', '/systemd/resolve/resolv.conf']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],4,0,0
106_577844575_115403,file,['/var/lib/docker/containers/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/hosts'],['/'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],2,0,0
106_577844575_115404,file,['/var/lib/docker/containers/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/resolv.conf'],['/'],['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],2,0,0
106_577844575_115771,file,"['/systemd/netif/.#state5Fk5LZ', '/systemd/netif/state']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],8,0,0
106_577844575_115820,file,"['/systemd/netif/.#state9XuMnh', '/systemd/netif/state']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],16,0,0
106_577844575_115961,pipe,['/docker/runtime-runc/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/exec.fifo'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]","['getattr', 'read']",['write'],[],"['--pid-file', '--bundle', 'runc', 'start', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/tmp/pty251701112/pty.sock', '--console-socket', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']",2,1,0
106_577844575_115963,socket,[],"['/', '/usr/bin/runc']","['/', '/usr/bin/containerd-shim']","[1, 1, 1, 1, 1]","['getattr', 'receive_msg', 'receive']","['socket_create', 'socket_pair_create', 'send_msg', 'send']","['--pid-file', '--bundle', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--console-socket', '--log-format', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']","['runc', 'init']",9,1,0
106_577844575_115965,pipe,[],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['--pid-file', '--bundle', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--console-socket', '--log-format', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']",8,1,1
106_577844575_116091,process_memory,['/'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['clone_mem', 'memory_write']",[],"['--pid-file', '--bundle', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--console-socket', '--log-format', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']",4,1,1
106_577844575_116105,process_memory,['/'],"['/', '/usr/bin/containerd-shim', '/usr/bin/dockerd']",['/'],"[1, 1, 1, 1, 1]","['memory_read', 'ptrace_read']","['clone_mem', 'memory_write']",[],"['--pid-file', '--bundle', 'runc', '/tmp/pty251701112/pty.sock', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--console-socket', '--log-format', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']",3,1,1
106_577844575_116241,socket,[],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['receive_msg'],"['socket_create', 'bind']",[],[],11,0,0
106_577844575_116246,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],['/usr/bin/dockerd'],"[0, 0, 1, 0, 0]",['memory_read'],"['clone_mem', 'memory_write', 'exec_task']",[],[],2,0,0
106_577844575_116400,file,"['/systemd/netif/links/9', '/systemd/netif/links/.#9b8wXmJ']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],20,0,0
106_577844575_116402,file,"['/systemd/netif/state', '/systemd/netif/.#stateZSasXS']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],8,0,0
106_577844575_116404,file,"['/systemd/netif/links/.#3VLBYx2', '/systemd/netif/links/3']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],24,0,0
106_577844575_116570,process_memory,['/'],['/usr/bin/containerd-shim'],['/'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['clone_mem', 'memory_write']",[],"['--pid-file', '--bundle', 'runc', 'start', '/var/run/docker/runtime-runc/moby', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/init.pid', '/tmp/pty251701112/pty.sock', '--console-socket', '--log-format', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', 'create', '/run/containerd/io.containerd.runtime.v1.linux/moby/067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56/log.json', '067b997e15622699de3d46463309fb194f4582c1e183dd33d2ee8b149d838a56', '--root', '--log', 'json']",3,1,1
106_577844575_116688,file,"['/systemd/netif/state', '/systemd/netif/.#stateNYj4cf']",['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],8,0,0
106_577844575_116690,file,"['/systemd/netif/links/9', '/systemd/netif/links/.#9H9EcSr']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],66,0,0
106_577844575_116694,file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confwvdLtk']",['/usr/bin/sudo'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'getattr', 'open', 'read']","['rename', 'write']",[],[],10,0,0
106_577844575_116809,file,['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21/diff/lib/x86_64-linux-gnu/libnss_files.so.2'],['/usr/bin/dockerd'],"['/bin/bash', '/usr/bin/dockerd', '/bin/cp']","[1, 1, 1, 1, 1]","['getattr', 'open', 'mmap_private', 'read', 'perm_check']","['rename', 'write']","['/lib/x86_64-linux-gnu/libnss_files.so.2', 'evil_libnss_files.so.2', 'cp']","['/var/lib/docker/overlay2/3e383c63e41c4026836ecd58dee1f2fea037cd3db6de39085c77ec801e4dee21/merged', 'docker-tar', '/root/']",7,1,1
106_577844575_117614,file,['/evil'],['/bin/bash'],['/'],"[1, 1, 1, 1, 1]","['perm_check', 'getattr', 'open', 'read']",['write'],['bash'],"['cat', '/evil']",4,1,1
106_577844575_31142,process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],"['--prefix=/net/ipv6/neigh/vethd453f2b', '--prefix=/net/ipv4/conf/vethd453f2b', '--prefix=/net/ipv6/conf/vethd453f2b', '--prefix=/net/ipv4/neigh/vethd453f2b', '--prefix=/net/ipv4/conf/veth4f0e680', '/lib/systemd/systemd-sysctl', '--prefix=/net/ipv6/neigh/veth4f0e680', '--prefix=/net/ipv4/neigh/veth4f0e680', '--prefix=/net/ipv6/conf/veth4f0e680']",2,0,0
106_577844575_51378,process_memory,['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],['/lib/systemd/systemd-timesyncd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],[],[],1,0,0
106_577844575_54515,process_memory,['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['memory_read', 'ptrace_read']",['memory_write'],[],[],1,0,0
106_577844575_70926,process_memory,['/usr/bin/dockerd'],['/usr/bin/dockerd'],"['/', '/usr/bin/dockerd']","[0, 0, 1, 0, 0]",['memory_read'],['memory_write'],[],[],2,0,0
