bID_mID_oID,object_type,entity_path,reader_path,writer_path,namespaces,reader_relation_types,writer_relation_types,writer_argvs,reader_argvs,CNS_event_count,priviledged_flow,label,,priviledged_flow
22_9300560_144027,file,"['/systemd/resolve/.#resolv.confczBz4h', '/systemd/resolve/resolv.conf']",['/usr/bin/kubelet'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'open']","['rename', 'write']",[],[],3,0,0,,0
22_9300560_144029,file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confnkNn7c']",['/usr/bin/dockerd'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],[],10,0,0,,0
22_9300560_144070,pipe,[],['/usr/bin/kubelet'],['/usr/bin/nsenter'],"[0, 0, 1, 0, 0]",['read'],['write'],"['scope', 'addr', 'ip', 'dev', '-4', 'show', '-o', 'eth0', 'global']",[],1,0,0,,0
22_9300560_144074,process_memory,['/usr/bin/kubelet'],"['/usr/bin/kubelet', '/usr/bin/nsenter']","['/usr/bin/kubelet', '/usr/bin/docker-runc']","[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'clone_mem', 'exec_task']","['-F', '/usr/bin/nsenter', 'addr', '--', 'dev', 'ip', '/pause', '-4', 'show', '--net=/proc/5735/ns/net', 'global', '-o', 'eth0', 'scope']","['-F', '/usr/bin/nsenter', 'addr', '--', 'dev', 'ip', '-4', 'show', '--net=/proc/5735/ns/net', 'global', '-o', 'eth0', 'scope']",2,0,0,,0
22_9300560_144183,pipe,[],['/usr/bin/kubelet'],['/usr/bin/nsenter'],"[0, 0, 1, 0, 0]",['read'],['write'],"['scope', 'addr', 'ip', 'dev', '-4', 'show', '-o', 'eth0', 'global']",[],1,0,0,,0
22_9300560_144187,process_memory,['/usr/bin/kubelet'],"['/usr/bin/kubelet', '/usr/bin/nsenter']","['/usr/bin/kubelet', '/usr/bin/docker-runc']","[0, 0, 1, 0, 0]",['memory_read'],"['exec_task', 'clone_mem', 'memory_write']",['/pause'],"['scope', 'addr', 'ip', 'dev', '-4', 'show', '-o', 'eth0', 'global']",2,0,0,,0
22_9300560_144335,file,"['/systemd/netif/links/.#8Wl9qFJ', '/systemd/netif/links/8']",['/lib/systemd/systemd-resolved'],['/lib/systemd/systemd-networkd'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],[],68,0,0,,0
22_9300560_144337,file,"['/systemd/resolve/.#resolv.confGpPvob', '/systemd/resolve/resolv.conf']",['/usr/bin/kubelet'],['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'open']","['rename', 'write']",[],[],78,0,0,,0
22_9300560_144339,file,"['/systemd/resolve/stub-resolv.conf', '/systemd/resolve/.#stub-resolv.confBgIEF9']","['/usr/bin/kubelet', '/usr/bin/sudo', '/usr/bin/dockerd']",['/lib/systemd/systemd-resolved'],"[0, 1, 0, 0, 0]","['perm_check', 'read', 'getattr', 'open']","['rename', 'write']",[],[],44,0,0,,0
22_9300560_144483,file,['/var/lib/kubelet/pods/c1337104-55ee-4ff1-a109-faa6b09456e6/etc-hosts'],['/usr/bin/docker-runc'],['/usr/bin/kubelet'],"[1, 1, 1, 1, 1]",['getattr'],['write'],[],[],1,0,0,,0
22_9300560_144597,file,['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1-init/diff/etc/resolv.conf'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0,,0
22_9300560_144614,file,['/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1-init/diff/etc/hostname'],"['/usr/bin/docker-runc', '/usr/bin/dockerd']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['getattr'],['rename'],[],[],1,0,0,,0
22_9300560_144727,process_memory,['/usr/bin/dockerd'],"['/usr/bin/docker-runc', '/usr/local/bin/python3.7']",['/usr/bin/dockerd'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],44,0,0,,0
22_9300560_144765,file,"['/var/lib/docker/overlay2/6b6e3bffd45fba6c8877c93ba450ea56be128623cf458a7b2e476980489cd2ac/diff/etc/passwd', '/etc/passwd']","['/usr/bin/kubelet', '/usr/bin/dockerd']",['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['getattr'],['munmap'],['bash'],[],3,1,1,,1
22_9300560_144874,pipe,['/docker/runtime-runc/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/exec.fifo'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['read'],['write'],[],"['--log-format', 'docker-runc', '--root', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', 'json', 'start', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', '--log']",1,1,0,,1
22_9300560_144876,socket,[],['/usr/bin/docker-runc'],"['/usr/bin/docker-runc', '/usr/bin/docker-containerd-shim']","[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['send_msg', 'socket_create', 'socket_pair_create', 'send']","['/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '--log-format', 'init', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/init.pid', 'docker-runc', '--root', 'json', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '--bundle', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', 'create', '--log', '--pid-file']",[],14,0,0,,0
22_9300560_145027,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_145029,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_145031,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]",['memory_read'],"['memory_write', 'clone_mem']","['/pause', 'init', 'docker-runc']",[],2,0,0,,0
22_9300560_145034,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],"['memory_write', 'clone_mem']",[],[],1,1,0,,0
22_9300560_145037,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/init.pid', 'docker-runc', '--root', 'json', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '--bundle', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', 'create', '--log', '--pid-file']",3,1,0,,1
22_9300560_145536,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-containerd-shim'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['memory_write', 'clone_mem']",[],"['/var/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '--log-format', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/init.pid', 'docker-runc', 'state', '--root', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', 'json', '--bundle', 'start', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', 'create', '--log', '--pid-file']",5,1,0,,1
22_9300560_145569,pipe,[],['/usr/bin/kubelet'],['/usr/bin/nsenter'],"[0, 0, 1, 0, 0]",['read'],['write'],"['addr', 'ip', 'dev', '-4', 'show', 'global', '-o', 'eth0', 'scope']",[],1,0,0,,0
22_9300560_145576,process_memory,['/usr/bin/kubelet'],"['/usr/bin/kubelet', '/usr/bin/nsenter']","['/usr/bin/kubelet', '/usr/bin/docker-runc']","[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'clone_mem', 'exec_task']",['/pause'],"['addr', 'ip', 'dev', '-4', 'show', 'global', '-o', 'eth0', 'scope']",2,0,0,,0
22_9300560_145719,process_memory,['/usr/bin/docker-runc'],"['/usr/bin/docker-runc', '/usr/bin/docker-containerd-shim']",['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['ptrace_read'],"['exec_task', 'memory_write', 'clone_mem']",[],"['--log-format', 'state', '/tmp/runc-process733316928', 'docker-runc', '--process', '--root', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', 'json', '/tmp/pty175629861/pty.sock', 'exec', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', '--console-socket', '--detach', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/996dca000a9621d9c3cbf1b06cfa1852e225b8bc987fb1df576ac42c10ec2f41.pid', '--pid-file']",13,1,0,,1
22_9300560_145994,pipe,[],['/usr/bin/kubelet'],['/usr/bin/nsenter'],"[0, 0, 1, 0, 0]",['read'],['write'],"['addr', 'ip', 'dev', '-4', 'show', 'global', '-o', 'eth0', 'scope']",[],1,0,0,,0
22_9300560_145998,process_memory,['/usr/bin/kubelet'],"['/usr/bin/kubelet', '/usr/bin/nsenter']","['/usr/bin/kubelet', '/usr/bin/docker-runc']","[0, 0, 1, 0, 0]",['memory_read'],"['memory_write', 'clone_mem', 'exec_task']",['/pause'],"['addr', 'ip', 'dev', '-4', 'show', 'global', '-o', 'eth0', 'scope']",2,0,0,,0
22_9300560_151937,socket,[],['/usr/bin/docker-runc'],"['/usr/bin/docker-runc', '/usr/bin/docker-containerd-shim']","[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['send_msg', 'socket_create', 'socket_pair_create', 'send']","['--log-format', 'init', '--process', '/tmp/runc-process733316928', 'docker-runc', '--root', 'json', '8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b', '/tmp/pty175629861/pty.sock', 'exec', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/log.json', '/var/run/docker/runtime-runc/moby', '--console-socket', '--detach', '--log', '/run/docker/containerd/daemon/io.containerd.runtime.v1.linux/moby/8bebc517e7d728da42086322d09f517a98e9fdb079b373b523ea42c05e24113b/996dca000a9621d9c3cbf1b06cfa1852e225b8bc987fb1df576ac42c10ec2f41.pid', '--pid-file']",[],10,0,0,,0
22_9300560_151963,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_151965,socket,[],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]","['receive_msg', 'receive']","['socket_pair_create', 'socket_create']","['init', 'docker-runc']",[],2,0,0,,0
22_9300560_151967,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 0, 1]",['memory_read'],"['memory_write', 'clone_mem']","['init', '/bin/sh', 'docker-runc', '-c', 'tail -f /dev/null']",[],2,0,0,,0
22_9300560_151973,process_memory,['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],['/usr/bin/docker-runc'],"[1, 1, 1, 1, 1]",['memory_read'],['clone_mem'],[],[],1,0,0,,0
22_9300560_152900,file,"['/root/exploit/find_sensitive_files.py', '/var/lib/docker/overlay2/2a8cefdce55e7126771040085944b9ffea51577e2ddac111b90ab0f551472973/diff/root/exploit/find_sensitive_files.py']","['/usr/bin/kubelet', '/usr/bin/dockerd']",['/bin/bash'],"[1, 1, 1, 1, 1]",['getattr'],['write_ioctl'],"['python', 'find_sensitive_files.py']",[],3,1,1,,1
22_9300560_154848,file,"['/root/exploit/host_files/tokens/var.lib.kubelet.pods.1a327d09-bbd5-41af-9ceb-1294a1437e5c.volumes.kubernetes.io~secret.coredns-token-62nxx.toke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/tokens/var.lib.kubelet.pods.1a327d09-bbd5-41af-9ceb-1294a1437e5c.volumes.kubernetes.io~secret.coredns-token-62nxx.toke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],6,1,1,,1
22_9300560_154853,file,"['/root/exploit/host_files/tokens/var.lib.kubelet.pods.393f246b-e358-4b4b-a41a-87671eb0a65d.volumes.kubernetes.io~secret.flannel-token-tlttb.toke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/tokens/var.lib.kubelet.pods.393f246b-e358-4b4b-a41a-87671eb0a65d.volumes.kubernetes.io~secret.flannel-token-tlttb.toke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],6,1,1,,1
22_9300560_154858,file,"['/root/exploit/host_files/tokens/var.lib.kubelet.pods.7d0394de-f3d0-4331-b75e-649d8def3208.volumes.kubernetes.io~secret.coredns-token-62nxx.toke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/tokens/var.lib.kubelet.pods.7d0394de-f3d0-4331-b75e-649d8def3208.volumes.kubernetes.io~secret.coredns-token-62nxx.toke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],6,1,1,,1
22_9300560_154863,file,"['/root/exploit/host_files/tokens/var.lib.kubelet.pods.c1337104-55ee-4ff1-a109-faa6b09456e6.volumes.kubernetes.io~secret.logger-token-dc9sk.toke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/tokens/var.lib.kubelet.pods.c1337104-55ee-4ff1-a109-faa6b09456e6.volumes.kubernetes.io~secret.logger-token-dc9sk.toke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],6,1,1,,1
22_9300560_154868,file,"['/root/exploit/host_files/tokens/var.lib.kubelet.pods.e3b47369-8f7c-46b7-91d7-de3eabd265f5.volumes.kubernetes.io~secret.kube-proxy-token-t46gn.toke', '/var/lib/docker/overlay2/d013852e4e9a9010c7d54f09c20267bd5baaff3a54da815a3d2ea63ca4cb31c1/diff/root/exploit/host_files/tokens/var.lib.kubelet.pods.e3b47369-8f7c-46b7-91d7-de3eabd265f5.volumes.kubernetes.io~secret.kube-proxy-token-t46gn.toke']","['/usr/bin/kubelet', '/usr/bin/dockerd']","['/bin/bash', '/usr/bin/dockerd']","[1, 1, 1, 1, 1]",['getattr'],"['write_ioctl', 'write']","['python', 'find_sensitive_files.py']",[],6,1,1,,1
22_9300560_22711,process_memory,['/lib/systemd/systemd'],['/lib/systemd/systemd-udevd'],['/lib/systemd/systemd'],"[0, 1, 0, 0, 0]",['ptrace_read'],['memory_write'],,"['--prefix=/net/ipv6/conf/veth43cccd9e', '--prefix=/net/ipv4/conf/veth43cccd9e', '--prefix=/net/ipv6/neigh/veth43cccd9e', '/lib/systemd/systemd-sysctl', '--prefix=/net/ipv4/neigh/veth43cccd9e']",1,0,0,,0
